Donald,Jeb,Ben,Marco,Ted,Rand,John,Chris,Bernie,Hillary,Martin
,,,,,,,,We should not be paying the highest prices in the world for prescription drugs.,"You know, Chris Cuomo's father said one of the smartest things.",
,,,,,,,,"And our Medicare for All program will guarantee comprehensive care to all people, and save middle class families some thousands of dollars a year.","He said many, many smart things about politics.",
,,,,,,,,See.,"But you might remember he said you campaign in poetry, you govern in prose.",
,,,,,,,,"And, Chris, what happens in politics -- I don't want to shock anybody in the office.","You know, you can say all the kinds of things you want in a campaign.",
,,,,,,,,Sometimes people distort things.,"And we are drawing distinctions with the Republicans, and we should because I have very deep disagreements, as I just pointed out, with a lot of what they're saying and doing.",
,,,,,,,,I mean I've had 30-second ads run against me.,"But, once the election is over we must come together to work to solve the problems facing our country.",
,,,,,,,,Bernie is going to raise your taxes.,That is what I did.,
,,,,,,,,But they forget to say we're going to do away with your private health insurance premiums.,"I did it as a First Lady when I worked, as I said, t get the children's health insurance program.",
,,,,,,,,She attacks us.,"I did it to reform the foster care and adoption system with one of the most partisan Republicans in the house, Tom DeLay.",
,,,,,,,,But they forget to say we're going to do away with your private health insurance premiums.,I did it when I was in the Senate.,
,,,,,,,,"Bottom line here is we spend almost three times more per person than the British, 50 percent more than the French.","And, nearly every Republican I served with co-sponsored legislation that I introduced, and we worked to pass.",
,,,,,,,,"We can save substantial sums of money, and my Medicare for all system is funded in a very progressive way.","And, I did it as Secretary of State.",
,,,,,,,,"Yes, you'll pay a little bit more, but your health premiums will disappear.","Reaching out, talking wit Republicans all the time about what we were doing, enlisting their support, getting their advice.",
,,,,,,,,"Well, that's -- you know, that's true.","So, I know in order to deal with the problems I want to, to get the economy working, creating more good jobs, getting in comes rising, making sure we build on the affordable care act.",
,,,,,,,,But all of what I am trying to do assumes something.,"Get costs down, but improve it, get to 100% coverage.",
,,,,,,,,"When I talk about making public colleges and universities tuition free, and doing that and paying for that through a tax on Wall Street speculation.","Everything I want to do, I want to start from the belief that we can find common ground, and tha is exactly what I intend to do.",
,,,,,,,,"When I talk about rebuilding our crumbling infrastructure, which as you know is in disrepair all over this country, and talk about doing away with huge loopholes that major corporations now enjoy -- so that in a given year you have these large corporations making billions, not paying a nickel in taxes because they're putting their money in the Cayman Islands.","And, I see my friend Tom Harkin sitting there, and he knows from his years in the Congress, you always have to hope you can find common ground.",
,,,,,,,,Now how do we get these things through?,You got to bring peopl together like he did.,
,,,,,,,,"What this campaign is about is, not just electing a President, it is creating a political revolution where millions of people, many of whom have not been involved in the political process, stand up and demand a government which represents all of us, not just wealthy campaign contributors.","The Americans With Disabilities Act, what an amazing accomplishment.",
,,,,,,,,That's how we make change.,Right.,
,,,,,,,,"Well, I think what we -- you know, we had the, remember the Reagan revolution, and the Gingrich revolution, well, my revolution's a little bit different.",Yes.,
,,,,,,,,But it is a process.,"Yeah, well, Chris, it was kind of tongue-in-cheek, and I consider them more the adversaries because they are.",
,,,,,,,,"Look, let's be clear.","They have their set of objectives, we have ours i the Democratic side.",
,,,,,,,,We have one of the lowest voter turnouts of any major country on earth.,"But, that's why I gave you a short overview.",
,,,,,,,,"In the last election where Republicans won a huge victory, 63 percent of the American people didn't vote, 80 percent of young people didn't vote.",I work with all of them.,
,,,,,,,,"Now, when people don't vote, there's a political vacuum that's created.","You know, when I'm actually in office, they say really nice things about me.",
,,,,,,,,And I will tell you how it's filled.,"We have a whole long list of the nice things they say, what a good colleague I am, how easy I am to work with, how willing I am to try to find common ground And, then when I run, Oh my goodness it's just unbelievable.",
,,,,,,,,"It's filled by lobbyists and campaign contributors who could care less about the middle class, who are there to protect the wealthiest people in this country.","So, I have no - I have no problem in saying, yeah, we have political differences.",
,,,,,,,,"So what we are trying to do -- and I would tell you, Anderson, with some success -- is bring working people and young people and lower income people into the political process.",We're on opposite sides.,
,,,,,,,,"And when that happens, you know what, we will raise the minimum raise, we will have health care for all people, we will make public colleges and universities tuition free.","But, we're going to work as hard as we can, and here' what I know about how to get that done.",
,,,,,,,,Oh.,"It takes building relationships, and that is one of the hardest things to do in politics over ideological and partisan lines.",
,,,,,,,,Buts always make me nervous.,"So, I'm going to be just giving them all bear hugs whether they like it or not.",
,,,,,,,,"All right, Jason, fire away.","We're going to get together, we're going to talk about what we can do.",
,,,,,,,,Very good question and I thank you for it.,"Maybe we can get something done together, if not, maybe I can find that slice of common ground to find somebody who will work with me on achieving a goal that we want.",
,,,,,,,,"We are reaching out, as strongly as we can, for example to the African-American community, and to the Latino community.","So, that's the way the process should work, constantly looking for ways to make a difference and putting together the coalitions within the congress to pass laws.",
,,,,,,,,"And I think we are gaining more and more support in those communities, for a couple of reasons.",It would be very gracious of me to go back and talk to them.,
,,,,,,,,"Number one, within the African-American community, it's not only an economic issue, raising the minimum wage and providing jobs.",Hi.,
,,,,,,,,Youth unemployment for African- American kids now is 51 percent.,"Well, look.",
,,,,,,,,"So those are important issues, but I'll tell you what else is an important issue, and that is the criminal justice issue.",This is only still an issue because the Republicans want to keep it an issue.,
,,,,,,,,"The fact that we have more people in jail in American than any other country, disproportionately African-American and Latino.","They know it, I know it.",
,,,,,,,,"The fact that blacks and whites do marijuana at about an equal level, and yet four times more blacks get arrests.","And, I think it's very easy to answer, and as the gentleman who stood up before said, if you watched any of it, I answered every question.",
,,,,,,,,"The fact that blacks are more likely to be stopped by police in a, in a vehicle and get arrested than whites.","And, at the end of it, the Chairman said, No, we didn't learn anything new.",
,,,,,,,,Those are huge issues.,"No, well, because there was nothing new to learn.",
,,,,,,,,"And what I have said and repeat through a virtually all-white state, but I'll say this all over the country.",Why?,
,,,,,,,,"There will be no President who will fight harder to end institutional racism than I will, and we have got to reform a very, very broken criminal justice system.",Because there had already been eight investigations.,
,,,,,,,,"It breaks my heart, and I know that it breaks the hearts of millions of people in this country to see videos on television of unarmed people, often African-American, shot by police.",Most of them by Republicans in the Congress.,
,,,,,,,,"That has got to end, and these are issues that I take very seriously, Jason.","The House Intelligence Committee, the House Armed Services Committee, and what did they conclude?",
,,,,,,,,"It's a guiding principle in my life, absolutely, it is.","That there were problems that night, but they were ones that we should look a not from the perspective of placing blame or pointing fingers.",
,,,,,,,,"You know, everybody practices religion in a different way.",But how do we make sure that never happens again?,
,,,,,,,,"To me, I would not be here tonight, I would not be running for president of the United States if I did not have very strong religious and spiritual feelings.",That is what I said immediately after it happened.,
,,,,,,,,"I believe that, as a human being, the pain that one person feels, if we have children who are hungry in America, if we have elderly people who can't afford their prescription drugs, you know what, that impacts you, that impacts me.",That's why I put together an independent board to tell me as secretary of State what I needed to know and what we coul do to fix it.,
,,,,,,,,"And I worry very much about a society where some people spiritually say, it doesn't matter to me, I got it, I don't care about other people.",And I accepted all 29 of their recommendations.,
,,,,,,,,"So my spirituality is that we are all in this together and that when children go hungry, when veterans sleep out on the street, it impacts me.","And we were on the way to implementing them when I left, and that has continued.",
,,,,,,,,That's my very strong spiritual feeling.,So I am well aware that for partisan political purposes this continues.,
,,,,,,,,Good for you.,But let me tell you why this makes me not - it makes me sad.,
,,,,,,,,OK.,"It makes me sad because we've had terrorist attacks many times before in our country, haven't we?",
,,,,,,,,"For a start, in my view, we have got to crush ISIS, all right, for a start.","And we've had American, both civilians and military personnel the subject of attacks.",
,,,,,,,,"And as somebody who voted against the war in Iraq, what I believe is we've got to learn the lessons of that war.","When Ronald Reagan was president in 1983, our Marine barracks, our embassy were attacked in Beirut.",
,,,,,,,,"So we have to destroy ISIS, but we have to be not just tough, we have to be smart.",More than 250 Americans were killed.,
,,,,,,,,"And that means we work with a large coalition, led by on-the-ground Muslim troops.",The Democrats didn't make that a partisan issue.,
,,,,,,,,"King Abdullah of Jordan made the point, it will be Muslim troops who destroy ISIS, because ISIS has hijacked their religion.",We were horrified.,
,,,,,,,,"The United States, the U.","We were heartsick that Americans doing the work they were sent to do, civilians and military, were murdered by terrorists.",
,,,,,,,,K.,"So, the Democratic Congress worked with the Republican president to say what can we do?",
,,,,,,,,", France, Germany, Russia provide support, in my view, to the troops on the ground.",How do we fix this?,
,,,,,,,,So we've got to crush them.,Fast forward.,
,,,,,,,,"Internally, what we have got to do is significantly improve intelligence.",My husband was president.,
,,,,,,,,And I think we are not as strong as we can be in communicating with intelligence agencies all over this country.,Al-Qaeda attacked two of our embassies in Tanzania and Kenya.,
,,,,,,,,"If people come into this country, say, I've got to be screened although I happen to believe that we should accept refugees from the Middle East, from Syria and Afghanistan.","Car bombs blew them up, killed 12 Americans and hundreds o Kenyans and Tanzanians.",
,,,,,,,,"But I also appreciate the concern that others have, that we have got to screen those people, absolutely, thoroughly.",Madeline Albright was secretary.,
,,,,,,,,"There needs to be better coordination between federal, state, and local police.",She said we got to get to the bottom of this.,
,,,,,,,,"We have to work, which is very hard, making sure that we are tracking Internet transmission of information, where ISIS has been successful in getting information out and recruiting people.","She did the same as I did, commission an independent report.",
,,,,,,,,"But your concerns -- and again, thank you, you're a symbol of courage, that you went through that horror in Boston and you're going back and you're running again.",When the report came out sh made it public.,
,,,,,,,,Thank you for your courage.,I made the report I commissioned public.,
,,,,,,,,"Well, I think because she has a great deal of experience.",That's the only two times those reports have ever been made public.,
,,,,,,,,She was secretary of state of our country for four years.,"So again, it was terrible.",
,,,,,,,,"But I would say, Anderson, that the key foreign policy vote in modern American history was whether or not we should go into Iraq.",What can we do?,
,,,,,,,,"And Secretary Clinton was in the Senate then, I was in the House then.",How can we fix it?,
,,,,,,,,We both listened to the same evidence.,"It wasn't the subject of this kind of partisan, media-driven attack.",
,,,,,,,,"I made the decision, which I think history will conclude was the right decision, not to go to war.",People wanted to come together.,
,,,,,,,,"And if people want to go to my Web site, berniesanders.","And even after 9/11 when nearly 3,000 Americans and others who were working in New York City, the Pentagon, on that plane that crashed in Pennsylvania, were killed, we formed a commission.",
,,,,,,,,"com, check out what I said in 2002.",We said what went wrong?,
,,,,,,,,"And it gives me no -- no joy at all to say that much of what I feared would happen did, in fact, happen in terms of the destabilization of the region.",What can we learn?,
,,,,,,,,"So I think in terms of foreign policy, I have the judgment.",And then we moved on to try and do better.,
,,,,,,,,"We've been all over this world, met with foreign leaders.","So look, I understand that they will try to make this an issue.",
,,,,,,,,And I am confident that we can assemble a team that would do a great job.,I will continue to answer.,
,,,,,,,,Right.,And my best defense is the truth.,
,,,,,,,,"Gabriel, you have asked a -- an important question that is on the minds of millions of people, not just African-Americans, but -- but all people.",And that's what you will hear from now until I am elected president.,
,,,,,,,,Here's what I would do.,"Well, I think that they're - you know, look, I was delighted to get the Register's endorsement.",
,,,,,,,,For a start -- and I speak as a former mayor.,And it was a very generous one.,
,,,,,,,,"I was the mayor of Burlington, Vermont, as many know, who worked very closely with our police department and believe that the vast majority of police officers in this country are hardworking, honest and are trying to do their best, doing very, very difficult work.","And yes, I think that's a fair criticism.",
,,,,,,,,"But if a police officer breaks the law like any other public official, that police officer must be held accountable.","You know I had no intention of doing anything other than having a convenient way of communicating, and it turned out not to be so convenient.",
,,,,,,,,That's number one.,"So again, we've answere every question and we will continue to do so.",
,,,,,,,,"Number two, you have seen on television, as I have, local police departments that look like occupying armies.","But you know maybe being faster, trying to scramble around to find out what all of this means, I probably should have done that quicker.",
,,,,,,,,"We have got to demilitarize local police departments, make them part of the community, not invading armies.",No.,
,,,,,,,,"third, and very importantly, we have got to make police departments look like the communities that they serve.",I'm not willing to say it was an error in judgment because what - nothing that I did was wrong.,
,,,,,,,,"So if there's a diverse community, the police department should reflect that diversity.",It was not - it was not in any way prohibited.,
,,,,,,,,"Fourthly, in terms of police action, the federal -- you know, police departments are run by local governments.",And so|,
,,,,,,,,But the federal government can play an important role in helping to fund model type programs.,"Well, apologizing sooner, as soon as you can.",
,,,,,,,,"For example, I think we have to rethink the use of lethal force.","But part of the problem, and I would just say this as, not an excuse but just as an explanation.",
,,,,,,,,"I think too often, lethal force goes first rather than last.",When you're facing something like that you got to get the facts.,
,,,,,,,,"Obviously, there are times when policemen must use their guns and use them as quickly as possible.",And it takes time to get the facts.,
,,,,,,,,"But I think what we need to do is figure out ways to train police departments so that police officers -- so that lethal force is the last resort, not the first resort.","And so when I said hey, take all my emails, make them public.",
,,,,,,,,So that's some of the things that I would do.,"That ha never been done before, ever by anybody.",
,,,,,,,,Don't tell anybody that.,And so we've been sorting our way through this because it is kind of a unique situation.,
,,,,,,,,"You know, it's hard to say what motivates anybody.",I'm happy people are looking at the emails.,
,,,,,,,,"I think as a kid, I did -- my parents weren't political.","Some of them are you know, frankly a little embarrassing|",
,,,,,,,,My brother was a little bit.,You know.,
,,,,,,,,My parents were not.,You find out that sometimes I'm not the best on technology and things like that.,
,,,,,,,,"But, you know, it -- you know, like in any school you see big kids picking on little kids, you know.","But look, I think it's great.",
,,,,,,,,And I resented that.,Let people sort them through.,
,,,,,,,,I always did.,And as we have see there is a lot of - you know a lot of interest.,
,,,,,,,,"And, you know, injustice bothered me very, very much.",But it's something that took time to get done.,
,,,,,,,,"And when I went to the University of Chicago, I had the opportunity to -- I wasn't a great student, I have to -- I have to admit it.",OK.,
,,,,,,,,"In fact, I learned more off campus -- I shouldn't say this to other students, though.",OK.,
,,,,,,,,"Do your homework, study, but I learned a lot off -- off of campus and I got involved in a group some may know, some not, called the Congress on Racial Equality.",I think that's great.,
,,,,,,,,"And it was a great group and we got involved in trying to desegregate the housing owned by the University of Chicago, segregated housing.",I think that's fabulous.,
,,,,,,,,And we also got involved in efforts to desegregate the school system there and I got arrested.,I loved it.,
,,,,,,,,"But I think, you know, as far back as I can remember -- and, Anderson, I can't tell you why, but injustice is something that I have always fought throughout my life.","You know, look, you campaign in poetry, you govern in prose.",
,,,,,,,,What is my evidence?,And we need a lot more poetry in this campaign and in our country.,
,,,,,,,,My evidence is that I am the former chairman of the U.,"So, I applaud that.",
,,,,,,,,S.,I love the feeling.,
,,,,,,,,Senate Committee on Veterans Affairs.,I love the energy.,
,,,,,,,,"That I introduced, along with the support of the American Legion, the VFW, the DAV, the Vietnam vets of virtually every major veterans organization, the most comprehensive veterans health care legislation in the modern history of the United States of America.",I obviously respect Senator Sanders greatly and appreciate what he has done in this campaign.,
,,,,,,,,"And sadly enough, you know it's one thing, Paul, Republicans talk about how much they love veterans.","But I believe that I'm the better person to be the Democratic nominee, and to be the president and commander-in-chief of the country.",
,,,,,,,,I got two Republican votes on a comprehensive bill supported by virtually the entire Veterans Committee.,Great.,
,,,,,,,,But I didn't give up.,It's OK.,
,,,,,,,,"What I did then is work with people like John McCain, Jeff Miller over in the House.",OK.,
,,,,,,,,"And we passed -- wasn't my ideal bill, I compromised.",OK.,
,,,,,,,,But it was the most significant piece of veterans health care legislation passed in modern history.,"Sorry, President Obama, sorry, Bill, Abraham Lincoln.",
,,,,,,,,"We put some $16 billion in to veterans' health care, as well as in taking care of veterans in a number of areas.",Abraham Lincoln.,
,,,,,,,,So it's easy for politicians to give speeches.,"You know, I - wow, when I think about his challenges, they paled in comparison to anything we have faced or can imagine.",
,,,,,,,,"But what my work in the Senate has been involved is to making sure that veterans in this country get the best quality health care possible, get their benefits when they need them, not wait years and years.","You know, more Americans died in the Civil War than, you know, the wars of the 20th Century put together.",
,,,,,,,,And we've made some progress on that.,So here was a man who was a real politician.,
,,,,,,,,Do our best to end veterans' homelessness.,"I mean, he was a great statesman, but he also understood politics.",
,,,,,,,,President Obama put a lot of money into that.,"And he had to work to put together, you know, the support he needed to be able to hold the country together during the war.",
,,,,,,,,And we have had some success.,"And while he was prosecuting that war to keep the Union together, he was building America, which I found just an astonishing part of his legacy.",
,,,,,,,,Still have a way to go.,"The transcontinental rail system, land grant colleges, he was thinking about the future while in the middle of trying to decide which general he can trust to try to finish the war.",
,,,,,,,,"So I think if you check my record it will tell you that I received the award, the highest award from the American Legion and the VFW for my work on veterans' issues.","That's what I mean, when you've got to do a lot of things at once, what could be more overwhelming than trying to wage and win a civil war?",
,,,,,,,,So I'm proud of that.,"And yet, he kept his eye on the future and he also tried to keep summoning up the better angels of our nature.",
,,,,,,,,Yes.,"You know, he was willing to reconcile and forgive.",
,,,,,,,,"Well, a fair question.","And I don't know what our country might have been like had he not been murdered, but I bet that it might have been a little less rancorous, a little more forgiving and tolerant, tha might possibly have brought people back together more quickly.",
,,,,,,,,"And I think you know the answer is that we have worked on many, many issues, Anderson.","But instead, you know, we had Reconstruction, we had the re-instigation of segregation and Jim Crow.",
,,,,,,,,And your point is fair that we should've acted sooner.,We had people in the South feeling totally discouraged and defiant.,
,,,,,,,,"We should've known what was going on in Phoenix, those long waiting lines and the lies that some administrators were telling us.","So, I really do believe he could have very well put us on a different path.",
,,,,,,,,"On the other hand, what we also did, though, is make significant progress in terms of dealing with homelessness.","And, as I say, our challenges are nothing like what he faced, but let's think ourselves about not only what we have to do right now, especially to get the income rising in America, especially to make college affordable, do something about student debt, keep health care growing until we get 100 percent coverage and so much else.",
,,,,,,,,"We passed a post 9/11 GI bill, which provides college education for the men and women who served in Iraq and Afghanistan.","But let's also think about how we do try to summon up those better angels, and to treat each other, even when we disagree, fundamentally disagree, treat each other with more respect, and agree to disagree more civilly, and try to be inspired by, I think, the greatest of our presidents.",
,,,,,,,,"We passed a Caregivers Act, which for the first time will provide support for those folks, mostly women, who are staying home with disabled vets.",Thank you.,
,,,,,,,,So I think in recent years we have made some progress.,"Thanks, Chris.",
,,,,,,,,Your point is a good one.,Great to see you.,
,,,,,,,,We should have done better.,You doing OK?,
,,,,,,,,There we go.,Good.,
,,,,,,,,You look younger than I do.,I am so thrilled that I'm coming to New Hampshire after winning Iowa.,
,,,,,,,,Why is that?,I am excited about really getting into the debate with Senator Sanders.,
,,,,,,,,"Well, Marjorie, thank you for your question.","New Hampshire, the eyes of the world are going to be on you again.",
,,,,,,,,It is just not accurate to say -- you know sometimes people may portray me in this respect.,To really think hard about what the Democratic Party stands for and what we want the future of our country to look like if we do our part to build it.,
,,,,,,,,It is not accurate to say that it's my way or the highway.,I am a progressive who gets things done for people.,
,,,,,,,,Let me give you some examples.,Here's what I want you to know.,
,,,,,,,,"I just mentioned that I compromised significantly with people like John McCain and Republicans in the House to pass what is regarded as the most significant piece of veterans' legislation passed in many, many years.",Hello.,
,,,,,,,,"Second of all, when I was in the House of Representatives, there were years, Marjorie, where I received more votes.",Hello.,
,,,,,,,,I won more amendments than any other member of the House of Representatives because I reached out where there was common ground with Republicans.,Thank you very much.,
,,,,,,,,So I think I have a history of being able to work with Republicans when there is common ground.,It feels great.,
,,,,,,,,But here is the major point that I want to make.,I've had just an amazing time.,
,,,,,,,,And I will continue to do that.,"We landed in the middle of the night from Iowa still pretty pumped up about winning there, and then got to work the next day.",
,,,,,,,,"But here is the truth, and it's an unpleasant truth, and I know that not everybody here will agree with me.","And I'm seeing a lot of old friends, meeting a lot of new people.",
,,,,,,,,"In my view, we have a Congress today that is much more interested in doing the bidding of the wealthy and the powerful, Wall Street and the drug companies and the fossil fuel industries, rather than the needs of the American people.",I have an uphill climb and I'm going to climb as high and hard as I can because I want to make my case for the people of New Hampshire.,
,,,,,,,,"And I believe we're not going to make the real changes that we need, dealing with the grotesque level of income and wealth inequality, reforming a corrupt campaign finance system which allows billionaires to buy elections, dealing with climate change, making sure we don't continue to pay the highest prices in the world for prescription drugs when last year the three major drug companies made $45 billion in profit.","As you said, they're people that I feel very close to.",
,,,,,,,,"Now, how do we change all of that?","They've been good to my husband, to me, my family.",
,,,,,,,,"Well, where we can, we work with our Republican friends.",But what's most important is the first in the nation primary.,
,,,,,,,,"But change, in my view, and what history tells us, has always come from the bottom on up.","It truly is a great opportunity to get out there, explain what you want to do as president, present your ideas, and get vetted by the people of New Hampshire.",
,,,,,,,,That's what the Civil Rights movement was about.,"You know, I don't know.",
,,,,,,,,That's what the women's movement was about.,"Well, the intensity of the experience and the importance of trying to convey what's at stake in this election, because to me obviously Tuesday is a really big deal with the primary.",
,,,,,,,,That's what the gay movement was about.,But the goal has to be to prevent the Republicans from getting back into the White House and undoing all the progress that has been made under President Obama.,
,,,,,,,,That's what the environmental movement is about.,And so I -- I'm very proud of the campaign that Senator Sanders and I are running.,
,,,,,,,,"And what we need right now is a very profound and deep movement this country, where millions of people, in fact, get involved and say, I'm sorry, my kid is not going to have to graduate college $100,000 in debt.","I mean, we really have focused on issues.",
,,,,,,,,That's wrong.,"We share a lot of the same big progressive goals, but we have different ways of going about them.",
,,,,,,,,My mom is entitled to decent health care and prescription drugs that she can afford.,We bring different experiences.,
,,,,,,,,"Those are the kinds of movements that we need, and that's how we will bring about real change in this country.","But we are contrasting on issues, compared to the Republicans who, I think, are contrasting on insults.",
,,,,,,,,That's because I was a Boy Scout too.,"And I think it's a better contest where we can take our ideas to groups like this throughout New Hampshire, get questions, have people vet them, and then let the voters make up their minds.",
,,,,,,,,"I don't, Mark.","Well, you know, you asked me this question in the first debate, right?",
,,,,,,,,"You know, we'll take one term at a time.",And I said that I'm a progressive who likes to get things done.,
,,,,,,,,Got to get to the first term first.,"And I was somewhat amused today that Senator Sanders has set himself up to be the gatekeeper on who is the progressive because under the definition that was flying around on Twitter and statements by the campaign, Barack Obama would not be a progressive, Joe Biden would not be a progressive, Jeanne Shaheen would not be a progressive, even the late, great Senator Paul Wellstone would not be a progressive.",
,,,,,,,,"Well, you know, thank goodness.",So I'm not going to let that bother me.,
,,,,,,,,"Let's not be ageist, Anderson.",I know where I stand.,
,,,,,,,,"You know, I am, thank God, in good health.",I know who stands with me.,
,,,,,,,,"And one can't predict the future, one never knows what happens tomorrow.",I know what I've done.,
,,,,,,,,"But, thank God, I have -- when I was a kid, I was a long-distance runner.",But I don't think it helps for the senator to be making those kinds of comparisons because clearly we all share a lot of the same hopes and aspirations for our country that we want to see achieved.,
,,,,,,,,"I was not quite the marathon runner, but I was a cross-country runner.","And I don't think it's appropriate that, you know, if Planned Parenthood endorses me or the Human Rights Campaign endorses me, you know, they're thrown out of the progressive wing and put into the establishment.",
,,,,,,,,And I've had good endurance and good strength my whole life.,That's just not anything we need to do.,
,,,,,,,,"So, you know, if I am fortunate enough to win the general election, and we do well, yes, I would like to run for re-election.",Let's have a good contest of ideas.,
,,,,,,,,Let me just say this.,Let's contrast where we stand.,
,,,,,,,,"I have, um, enormous respect for Hillary Clinton.",And that's what I intend to do for the next couple of days.,
,,,,,,,,I've known her for 25 years.,You think so?,
,,,,,,,,"And it's unfortunate, you know, in politics -- and everybody should know this.",That's amazing.,
,,,,,,,,"What media often wants you to do and you're asked this question, I'm sure it's the same for Secretary Clinton, beat her up.",Yes.,
,,,,,,,,Tell me something terrible about her.,"Look, you know, I was very fortunate to have a great team of young people, men and women, supporting me.",
,,,,,,,,"Attack her, because that will make the news.","But I accept the fact that I have work to do to convey what I stand for, what I've accomplished, what I want to do for young people in our country.",
,,,,,,,,I have tried my best not to do that.,"But I -- well, you know, I don't really know, Anderson.",
,,,,,,,,You're looking at a guy who has been in politics a long time.,I think -- here's what I want young people to know.,
,,,,,,,,"And I have never run a negative ad in my life and I look forward to never running a negative ad in my life, OK.","They don't have to be for me, I'm going to be for them.",
,,,,,,,,I don't think people deserve that.,It doesn't really matter.,
,,,,,,,,"We have to -- as Secretary Clinton just said, that's what politics is about.","If they are not supporting me, I will be their president, I will do everything I can to give them the opportunities they deserve.",
,,,,,,,,It's a debate on the issues.,"As I speak with young people across the country in Iowa, New Hampshire, and elsewhere, I do sense this real feeling of being somehow disadvantaged, put on the wrong side of American people across the country in Iowa, New Hampshire and elsewhere.",
,,,,,,,,Secretary Clinton has a long and distinguished public career.,"I do sense this real feeling of being somehow disadvantaged, put on the wrong side of American opportunity.",
,,,,,,,,"She has worked with children when she began, and God only knows that we need a lot of work, given the fact that we have the highest rate of childhood poverty of any major country on Earth.",And I understand that.,
,,,,,,,,So I respect it.,"I mean the student debt problems, the feeling that the jobs that are out there are not producing the kind of income or opportunity that young people believe they should be able to get.",
,,,,,,,,I thought she did a good job as secretary of State.,"But at the same time I'm so impressed by the level, the intensity of commitment of this generation to you know really going after discrimination, going after racism and sexism and the kind of abuses that LGBT community members have, looking for ways to bring more justice in the economy and the environment, fighting climate change.",
,,,,,,,,I served with her in the Senate.,So I'm impressed with them.,
,,,,,,,,We worked together on some issues.,And I'm going to do everything I can to reach out and to explain why good ideas on paper are important.,
,,,,,,,,"But there are other issues, Anderson, where I think she is just not progressive.",But you've got to be able to translate them into action to get results for people.,
,,,,,,,,I do not know any progressive who has a super PAC and takes $15 million from Wall Street.,I have a lot experience doing that.,
,,,,,,,,That's just not progressive.,I think I can deliver positive change for young people in our country.,
,,,,,,,,"As I mentioned earlier, the key foreign policy vote of modern American history was the war in Iraq.",And I hope to have the chance to win their support.,
,,,,,,,,The progressive community was pretty united in saying don't listen to Bush.,"Well, that's for Sen.",
,,,,,,,,Don't go to war.,Sanders to explain because that certainly is the core of his message to young people.,
,,,,,,,,Secretary Clinton voted to go to war.,I have a different take on it.,
,,,,,,,,"Virtually all of the trade unions and millions of working people understand that our trade policies -- NAFTA, CAFTA, permanent normal trade relations with China, etc.","I think the progress that we have made, and particularly the Democratic Party has made, has been hard fought for, hard won and must be defended.",
,,,,,,,,-- have been written by corporate America and the goal of it is to be able to throw American workers|,So I want to defend the Affordable Care Act.,
,,,,,,,,"millions of working people understand that our trade policies, NAFTA, CAFTA, Permanent Normal Trade Relations with China, et cetera, have been written by corporate America.","It is one of the great accomplishments, not only of this president, but of the Democratic Party going back to Harry Truman.",
,,,,,,,,"And the goal of it is to be able to throw American workers out on the street, move to China and other low-wage countries, and bring their products back into this country.","You know, the Republicans are determined to repeal it.",
,,,,,,,,And that's one of the reasons why the middle class of this country and the working class is struggling so hard.,And they tried 62 times just to turn it back to the insurance companies.,
,,,,,,,,"Secretary Clinton has been a supporter in the past of various trade policies, NAFTA and PNTR with China.",Sen.,
,,,,,,,,"Reluctantly, and after a lot of pressure on her, she came out against the TPP, and I'm glad that she did.",Sanders and I share the same goal.,
,,,,,,,,Every sensible person understands that climate change is real.,We want to get to universal health care coverage.,
,,,,,,,,It is caused by human activity.,"Before it was called Obamacare it was called Hillarycare, as you remember.",
,,,,,,,,And we have got to transform our energy system away from fossil fuel.,I fought really hard.,
,,,,,,,,"For a long time, Secretary Clinton was talking about the benefits of the Keystone pipeline.",The insurance companies and the drug companies spent millions against me.,
,,,,,,,,"Well, there are no benefits to excavating and transporting some of the dirtiest fossil fuel in the world.",I know what it's like to go up against the status quo and special interests.,
,,,,,,,,I was in the lead in opposition to the Keystone pipeline.,"So when President Obama succeeded, I was thrilled.",
,,,,,,,,I'm in opposition to the pipeline right here in New Hampshire and the pipeline in Vermont.,I don't agree with Sen.,
,,,,,,,,I think we have got to move aggressively away from fossil fuel if we're going to leave this planet in a way that's healthy and habitable for our kids.,"Sanders that we should start over, that we should throw our country into a contentious national debate about health care again.",
,,,,,,,,"No, I didn't give it a ringing endorsement.",We're at 90 percent coverage.,
,,,,,,,,"No, not true.",I'm going to fix what needs to be fixed.,
,,,,,,,,I wrote a blurb for it.,"We're going to move from 90 to 100, which is a lot easier to get to than starting at zero to get to 100.",
,,,,,,,,You may have the blurb there.,So we have a difference.,
,,,,,,,,And what the blurb said is that I think the next president should be very aggressive in bringing people into the political process.,And I think that is the difference.,
,,,,,,,,"And that, I believe, from the bottom of my heart.",Sure.,
,,,,,,,,"And if elected president, that will be a top priority of mine.","Hi, David.",
,,,,,,,,"I think in some areas, progressive -- for example, in the trade area.",Right.,
,,,,,,,,"Right now, I think they signed today the TPP in New Zealand.","Well, I'll tell you what, Dave.",
,,,,,,,,I think it is a continuation of bad trade policies.,I do have a litmus test.,
,,,,,,,,"The president supports it, I strongly disagree with it.",I have a bunch of litmus tests because I agree with you.,
,,,,,,,,"On the other hand, let's be very clear.",The next president could get as many as three appointments.,
